x,y,theta
1,0,1.5708
1,0.0914294,1.67108
0.989479,0.195985,1.77056
0.969913,0.292627,1.86711
0.939534,0.392131,1.9647
0.90193,0.482608,2.06846
0.853872,0.571067,2.16701
0.796657,0.655382,2.26017
0.735211,0.729925,2.35944
0.664675,0.800004,2.45057
0.58776,0.863618,2.5387
0.505119,0.920507,2.63709
0.415268,0.970119,2.72575
0.329509,1.00799,2.8323
0.236802,1.03761,2.9284
0.141381,1.05827,3.02373
0.0326818,1.07114,3.1194
-0.064839,1.07331,3.2246
-0.175108,1.06413,3.31263
-0.274543,1.04696,3.41622
-0.380108,1.01721,3.51111
-0.471992,0.981628,3.61346
-0.565834,0.933738,3.7157
-0.657953,0.874157,3.8125
-0.731734,0.815595,3.91935
-0.801977,0.746416,4.0206
-0.867782,0.666974,4.12115
-0.921393,0.587119,4.22597
-0.971921,0.491566,4.32523
-1.01073,0.396378,4.43342
-1.03672,0.305641,4.53446
-1.05516,0.203131,4.63774
-1.06294,0.0990781,4.74313
-1.05978,-0.00378474,4.8428
-1.0479,-0.0943675,4.94186
-1.02473,-0.193537,5.04199
-0.993442,-0.285004,5.14249
-0.95133,-0.376804,5.23738
-0.901966,-0.462032,5.33976
-0.845601,-0.539766,5.44587
-0.777479,-0.615356,5.5467
-0.705753,-0.680387,5.6559
-0.62216,-0.740989,5.75269
-0.539487,-0.789484,5.851
-0.446077,-0.832571,5.94985
-0.356448,-0.863606,6.05677
-0.248177,-0.888548,6.15422
-0.151991,-0.901022,6.2585
-0.0482152,-0.903584,6.35811
0.0560378,-0.895759,6.45872
0.155768,-0.878071,6.55553
0.246286,-0.85279,6.65575
0.338178,-0.816877,6.75146
0.425781,-0.772568,6.84691
0.512591,-0.717691,6.94789
0.593337,-0.654413,7.03988
0.663203,-0.588447,7.13912
0.732383,-0.508749,7.23204
0.790686,-0.427416,7.32507
0.843887,-0.33639,7.41982
0.886767,-0.243909,7.5238
0.918339,-0.15179,7.62475
0.938657,-0.06471,7.72252
0.951212,0.0302385,7.81588
0.954887,0.126658,7.91444
0.949055,0.223,8.0102
0.934008,0.318537,8.11841
0.908099,0.414224,8.21648
0.872144,0.509027,8.31607
0.827776,0.59811,8.41936
0.775984,0.67974,8.52294
0.710531,0.762534,8.62001
0.632859,0.843274,8.72931
0.556054,0.907373,8.82846
0.468878,0.966544,8.92448
0.378121,1.01616,9.02498
0.288681,1.05395,9.12626
0.193543,1.08323,9.22338
0.0993116,1.10247,9.32233
-0.00325728,1.11301,9.41637
-0.100201,1.11383,9.51007
-0.203169,1.10502,9.61443
-0.293842,1.08762,9.70915
-0.38895,1.05982,9.81315
-0.490845,1.01813,9.90329
-0.583856,0.969882,9.9957
-0.661279,0.920154,10.0869
-0.741891,0.857323,10.1889
-0.814432,0.787799,10.2864
-0.880461,0.710856,10.3874
-0.938329,0.627736,10.4836
-0.988919,0.537709,10.5798
-1.02905,0.446817,10.6841
-1.06185,0.344957,10.7879
-1.08186,0.250004,10.8817
-1.09261,0.155947,10.9784
-1.09424,0.0609088,11.0808
-1.08617,-0.0336031,11.18
-1.07091,-0.115411,11.2788
-1.04217,-0.214138,11.3747
-1.00412,-0.309659,11.4691
-0.957635,-0.400372,11.5656
-0.903944,-0.484127,11.6623
-0.841854,-0.563032,11.7654
-0.773366,-0.633689,11.8631
-0.700558,-0.695423,11.9593
-0.615546,-0.754468,12.0602
-0.521127,-0.806803,12.1547
-0.438712,-0.842785,12.2555
-0.336064,-0.875765,12.3573
-0.243301,-0.895442,12.4551
-0.144289,-0.9065,12.5588
-0.052508,-0.907199,12.6657
0.0404462,-0.897938,12.7607
0.143297,-0.877697,12.8566
0.233983,-0.850611,12.9555
0.324413,-0.813527,13.0579
0.413618,-0.76577,13.1621
0.496176,-0.709808,13.2583
0.566611,-0.651441,13.3551
0.636444,-0.581136,13.444
0.694797,-0.510887,13.54
0.746527,-0.434815,13.6399
0.796364,-0.342991,13.7387
0.835512,-0.250004,13.8399
0.865139,-0.153275,13.9392
0.88582,-0.0501661,14.0397
0.896612,0.0602417,14.1446
0.895886,0.158431,14.2441
0.884547,0.264057,14.3516
0.863874,0.358975,14.4496
0.830859,0.461193,14.5492
0.790491,0.553556,14.6516
0.742013,0.63932,14.7498
0.685234,0.720105,14.8458
0.622694,0.79307,14.9515
0.548535,0.863056,15.0455
0.461838,0.930687,15.1471
0.386075,0.978281,15.2452
0.297179,1.02263,15.3485
0.205382,1.05712,15.4462
0.109856,1.08271,15.5398
0.0157992,1.09868,15.6451
-0.0954409,1.10568,15.7383
-0.200466,1.10249,15.8384
-0.310235,1.08809,15.9426
-0.40681,1.065,16.0468
-0.487965,1.0364,16.1431
-0.582326,0.99254,16.2423
-0.664059,0.94417,16.337
-0.745388,0.884995,16.4355
-0.824456,0.814591,16.5377
-0.887068,0.746168,16.637
-0.945615,0.667822,16.7419
-0.997417,0.580786,16.8459
-1.03862,0.491608,16.9423
-1.07158,0.39738,17.0444
-1.09341,0.305945,17.1442
-1.10566,0.215452,17.2398
-1.10966,0.11299,17.3428
-1.10261,0.00309806,17.4424
-1.08724,-0.0900109,17.5389
-1.06434,-0.176041,17.6414
-1.02586,-0.277466,17.7394
-0.98257,-0.364685,17.8432
-0.9308,-0.446451,17.946
-0.867104,-0.527305,18.0494
-0.794481,-0.602102,18.1454
-0.719804,-0.66554,18.2407
-0.63965,-0.721424,18.3414
-0.552796,-0.769796,18.4465
-0.456555,-0.810839,18.5489
-0.353156,-0.842902,18.656
-0.256711,-0.861808,18.7643
-0.155623,-0.870444,18.8608
-0.0555503,-0.869319,18.9564
0.0386731,-0.859208,19.0616
0.142326,-0.83689,19.1585
0.242324,-0.804969,19.2585
0.335428,-0.764623,19.3556
0.418067,-0.718822,19.4441
0.499516,-0.663749,19.5436
0.573685,-0.602035,19.6322
0.645535,-0.530586,19.7339
0.707113,-0.455437,19.839
0.761394,-0.372826,19.9395
0.808834,-0.28189,20.045
0.848821,-0.180396,20.1435
0.876946,-0.081428,20.2492
0.89259,0.0090812,20.3499
0.899924,0.112999,20.4548
0.896574,0.210108,20.5472
0.884489,0.304868,20.6424
0.863656,0.397139,20.7443
0.834175,0.484948,20.8483
0.79202,0.577369,20.9466
0.73666,0.672681,21.0448
0.680343,0.750822,21.1443
0.613039,0.826959,21.2437
0.533676,0.900523,21.3422
0.45575,0.959634,21.4449
